0,484472,4.21292e+006
1,484183,4.21293e+006
2,484166,4.21314e+006
3,484140,4.21347e+006
4,484160,4.21371e+006
5,484164,4.21375e+006
6,484174,4.21385e+006
7,484150,4.21388e+006
8,483903,4.2139e+006
9,483612,4.21393e+006
10,483452,4.21394e+006
11,483452,4.21395e+006
12,483287,4.21397e+006
13,483051,4.214e+006
14,483023,4.21401e+006
15,483004,4.21401e+006
16,482998,4.21398e+006
17,482997,4.21395e+006
18,482914,4.21393e+006
19,482705,4.21394e+006
20,482399,4.21397e+006
21,482392,4.21416e+006
22,482389,4.21422e+006
23,482382,4.21427e+006
24,482377,4.21449e+006
25,482360,4.21472e+006
26,482335,4.21497e+006
27,482346,4.21516e+006
28,482427,4.21532e+006
29,482522,4.21551e+006
30,482646,4.21574e+006
31,482757,4.21591e+006
32,482932,4.21606e+006
33,483032,4.2162e+006
34,483116,4.21632e+006
35,483152,4.21636e+006
36,483162,4.21637e+006
37,483192,4.21632e+006
38,483172,4.21622e+006
39,483152,4.21612e+006
40,483101,4.21584e+006
41,483114,4.21549e+006
42,483133,4.21536e+006
43,483159,4.21528e+006
44,483390,4.21534e+006
45,483647,4.2154e+006
46,483760,4.21536e+006
47,483794,4.21535e+006
48,483796,4.21535e+006
49,483798,4.21528e+006
50,483754,4.21501e+006
51,483631,4.21471e+006
52,483579,4.21452e+006
53,483524,4.21433e+006
54,483452,4.2142e+006
55,483379,4.21391e+006
56,483389,4.21385e+006
57,483349,4.21362e+006
58,483280,4.21325e+006
